"year","state","rate"
1992,"AK",8.93344414433133
1992,"AL",6.88077832834801
1992,"AR",7.12614558241271
1992,"AZ",7.40367826457465
1992,"CA",9.37701300090778
1992,"CO",6.01548810373107
1992,"CT",7.29193353084019
1992,"DC",8.57887472189483
1992,"DE",5.3910441741898
1992,"FL",8.35518083997823
1992,"GA",6.67489634707749
1992,"HI",4.24402354125796
1992,"IA",4.48846905157585
1992,"ID",6.40747880380082
1992,"IL",7.83355319555153
1992,"IN",6.05922136480946
1992,"KS",4.63403961502296
1992,"KY",6.95099379659079
1992,"LA",7.86259770195517
1992,"MA",8.8351166191253
1992,"MD",6.57034862713707
1992,"ME",7.1198412810086
1992,"MI",9.15799350365468
1992,"MN",5.11551462779971
1992,"MO",5.99713647634851
1992,"MS",8.3467346669539
1992,"MT",6.44746144536446
1992,"NC",6.22529322758777
1992,"ND",4.74916241760781
1992,"NE",2.85260228545502
1992,"NH",7.59152566324533
1992,"NJ",8.45147694216
1992,"NM",7.47636484279714
1992,"NV",6.93854381569055
1992,"NY",8.64594178186873
1992,"OH",7.35109217458136
1992,"OK",6.21180249022222
1992,"OR",7.31871233674589
1992,"PA",7.68849136684573
1992,"RI",8.82993171615045
1992,"SC",6.63440350338903
1992,"SD",3.54112071368832
1992,"TN",6.56606415668567
1992,"TX",7.60899074297849
1992,"UT",4.93390128598995
1992,"VA",6.15338002900985
1992,"VT",6.44450917191866
1992,"WA",7.16309071357999
1992,"WI",5.1509375645843
1992,"WV",11.2928370949111
1992,"WY",5.67629096346576
1993,"AK",7.6602306613472
1993,"AL",6.61230092246826
1993,"AR",6.12513152981908
1993,"AZ",6.36928000130491
1993,"CA",9.53998551283003
1993,"CO",5.28690266749822
1993,"CT",6.36626551088085
1993,"DC",8.45309720998158
1993,"DE",4.99357039476162
1993,"FL",7.22155367714768
1993,"GA",5.93316010698836
1993,"HI",4.36874512244175
1993,"IA",4.19735414160384
1993,"ID",6.08587305485071
1993,"IL",7.38500643106511
1993,"IN",5.00610343240487
1993,"KS",5.07400263227801
1993,"KY",6.36938014618577
1993,"LA",7.43817624926595
1993,"MA",7.32262936414086
1993,"MD",5.98621390508182
1993,"ME",6.58941063371169
1993,"MI",7.3659871950135
1993,"MN",4.93122275430245
1993,"MO",6.13364131941236
1993,"MS",6.95869926163464
1993,"MT",5.99250315918008
1993,"NC",5.16086683011184
1993,"ND",4.42249799666472
1993,"NE",2.79112477348159
1993,"NH",6.3251139576528
1993,"NJ",7.61721088180773
1993,"NM",7.25698362496888
1993,"NV",6.77167657227613
1993,"NY",7.8795665174493
1993,"OH",6.73161738281973
1993,"OK",6.02074424717852
1993,"OR",6.93096645464211
1993,"PA",7.07344785379648
1993,"RI",7.91911520387336
1993,"SC",7.20493937934959
1993,"SD",3.57649644975106
1993,"TN",5.96512225925221
1993,"TX",7.17025551055986
1993,"UT",4.16786506917823
1993,"VA",5.16185341802332
